branch_id,location
19734331,Ikeja
1282d554,Ikeja
ae3ef418,Agege
f263d576,Ikeja
5e10a240,Agege
ee899487,Ikeja
f1573742,Ikeja
0d2f5758,Agege
27a5a034,Agege
b88f9496,Ikeja
c2b61242,Ikeja
55aca245,Agege
b37a4439,Agege
01f99027,Ikeja
c6777222,Ikeja
d53ef863,Agege
935e4259,Ikeja
1ff02554,Ikeja
e6553091,Ikeja
5fad5160,Ikeja
0a323211,Ikeja
612e4578,Agege
d5c29694,Agege
a7194914,Agege
7649d696,Ikeja
88288702,Ikeja
2c28c415,Ikeja
027a5069,Ikeja
00000880,Ikeja
1cc65247,Ikeja
3f1d4340,Ikeja
44ba7046,Agege
f6917664,Agege
2dfb6163,Ikeja
d38a4556,Ikeja
d1a37772,Agege
62e3c472,Agege
29c97875,Ikeja
9947b247,Agege
b8e42033,Agege
f854b247,Ikeja
5293e372,Ikeja
a6694593,Ikeja
a89aa547,Ikeja
9b7c4737,Agege
9b0d6825,Agege
5e316515,Agege
b2319802,Ikeja
85d76682,Agege
53c38637,Ikeja
54e9f307,Ikeja
32c95164,Agege
55932330,Agege
1487d258,Agege
6826c151,Ikeja
30e27439,Ikeja
b1885383,Ikeja
cefe7346,Ikeja
98f47310,Agege
ee656700,Ikeja
e2525417,Ikeja
73c4b719,Agege
46c20286,Ikeja
3babe595,Agege
d3ff5616,Ikeja
57093697,Ikeja
5a360305,Agege
75c2d639,Ikeja
f0814784,Agege
ea9eb887,Agege
cb286274,Ikeja
0df53015,Ikeja
f513a196,Agege
54e0e535,Agege
7c7e9198,Agege
bbefe207,Ikeja
8a213746,Ikeja
55dd2343,Agege
2d8a0932,Agege
4a28c516,Agege
139ca022,Ikeja
e005d131,Ikeja
768d9297,Agege
bf27c480,Agege
92c59176,Ikeja
e89d7432,Agege
41b65566,Ikeja
2c548720,Agege
02745680,Ikeja
b1e68486,Ikeja
f3f1f639,Agege
b4c92965,Agege
3b0af397,Agege
7b4e9734,Ikeja
f07bc440,Ikeja
cc8aa643,Ikeja
003ac174,Ikeja
d3352665,Ikeja
be8c8905,Agege
61a52833,Ikeja
